"","Var.1","Var.1","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY","POP_DATE","POP_DATE"
"1",1,4,"Total",3366890,209900,247040,259120,214070,215410,250880,287300,310640,318280,292790,233180,157890,121720,89880,70000,42860,25780,20110,20110,"TOTAL",248630,0.0738455963812302,"1/1/2003","2003"
"2",2,5,"Ang Mo Kio",170020,8380,9330,10690,10020,12340,14150,13110,14000,14930,14980,14020,10450,8340,5690,4440,2530,1460,1170,1170,"ANG MO KIO",15290,0.0899305964004235,"1/1/2003","2003"
"3",3,16,"Bedok",278920,14530,18320,21270,18790,19170,20260,20270,22480,25720,25190,22050,15510,11340,8600,6730,4320,2420,1970,1970,"BEDOK",24040,0.086189588412448,"1/1/2003","2003"
"4",4,25,"Bishan",85860,4230,6120,7630,5430,5280,5750,6470,7190,8720,8510,6680,4220,3150,2310,1710,1150,700,620,620,"BISHAN",6490,0.0755881667831353,"1/1/2003","2003"
"5",5,29,"Boon Lay",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOON LAY",0,0,"1/1/2003","2003"
"6",6,34,"Bukit Batok",130100,8870,10000,10650,9620,8500,9560,11220,12740,13210,12110,8660,5060,3440,2370,1880,1070,660,510,510,"BUKIT BATOK",6490,0.0498847040737894,"1/1/2003","2003"
"7",7,44,"Bukit Merah",140870,6050,6410,7270,6870,8690,11210,11240,10890,11480,11870,11620,9330,8450,6710,5460,3510,2220,1620,1620,"BUKIT MERAH",19520,0.13856747355718,"1/1/2003","2003"
"8",8,62,"Bukit Panjang",114230,8740,9250,10340,7860,6990,8760,10630,10970,11500,9850,6750,4080,2950,2030,1590,950,570,430,430,"BUKIT PANJANG",5570,0.0487612711196708,"1/1/2003","2003"
"9",9,70,"Bukit Timah",64150,2950,4670,5560,4290,3980,4060,4290,5200,5860,6120,5150,3760,2780,2010,1520,890,600,470,470,"BUKIT TIMAH",5490,0.0855806703039751,"1/1/2003","2003"
"10",10,79,"Central Water Catchment",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CENTRAL WATER CATCHMENT",0,0,"1/1/2003","2003"
